Red,Blue,Yellow,Winner
Inkling,Bowser Jr.,Mii Gunner,Yellow
,Bowser,Joker,Blue
Greninja,Cloud,Mii Swordfighter,Red
Diddy Kong,Steve,Wario,Blue
Palutena,Ken,Banjo & Kazooie,Yellow
Min Min,Pikachu,Lucas,Red
Kirby,Piranha Plant,Joker,Yellow
Ganondorf,Marth,Dr. Mario,Blue
Daisy,Samus,Banjo & Kazooie,Yellow
Cloud,Captain Falcon,Young Link,Red
Captain Falcon,Random,Ice Climbers,Red
Pikachu,Dark Pit,Greninja,Yellow
Roy,Pichu,Kazuya,Red
,Rosalina & Luma,Bowser,Yellow
Lucas,Marth,Sheik,Yellow
Hero,Dark Samus,Wolf,Blue
Olimar,Mii Gunner,Greninja,Blue
Chrom,Villager,Olimar,Red
Piranha Plant,Incineroar,,Blue
Young Link,Corrin,Yoshi,Yellow
Ness,Hero,Dark Pit,Blue
Random,Dark Pit,Sephiroth,Blue
Chrom,Greninja,Marth,Blue
Wii Fit Trainer,Zelda,Olimar,Yellow
Rosalina & Luma,King K. Rool,Chrom,Blue
Daisy,Wario,Jigglypuff,Red
King Dedede,Mii Swordfighter,,Blue
Sonic,Palutena,Ganondorf,Blue
Wii Fit Trainer,Bowser Jr.,Snake,Blue
Yoshi,Ken,Mewtwo,Blue
Link,Mega Man,Random,Red
Random,Peach,Link,Blue
Bowser,Mega Man,Simon,Yellow
Ken,Luigi,Mii Swordfighter,Yellow
,Simon,Corrin,Blue
Duck Hunt,Greninja,Wolf,Red
Diddy Kong,Sora,Mii Swordfighter,Blue
Random,Fox,Dr. Mario,Yellow
Lucas,Steve,Palutena,Blue
Zero Suit Samus,Terry,Mii Brawler,Blue
Sonic,Ness,,Red
Lucario,Piranha Plant,Kirby,Blue
Sora,Bowser Jr.,Kirby,Blue
Inkling,Incineroar,,Blue
Yoshi,Incineroar,Kazuya,Blue
Villager,Bayonetta,Donkey Kong,Red
Banjo & Kazooie,Corrin,Ridley,Yellow
Rosalina & Luma,King K. Rool,Young Link,Blue
Olimar,Sephiroth,,Blue
Zelda,Ryu,Isabelle,Yellow
Toon Link,Corrin,Young Link,Blue
Chrom,Ike,Piranha Plant,Blue
Duck Hunt,Ryu,Kazuya,Yellow
Toon Link,Falco,Simon,Blue
Greninja,Marth,Rosalina & Luma,Red
Isabelle,Sephiroth,Sheik,Blue
Sonic,Terry,Cloud,Yellow
Pikachu,Min Min,Link,Blue
Yoshi,Simon,,Blue
Wii Fit Trainer,Chrom,Marth,Blue
Greninja,Random,Duck Hunt,Blue
Donkey Kong,Corrin,Terry,Red
Sheik,Piranha Plant,Pichu,Yellow
Sonic,R.O.B,Pokemon Trainer,Red
Bayonetta,Wii Fit Trainer,Hero,Yellow
Link,Lucina,Rosalina & Luma,Red
Mega Man,Random,Peach,Red
Falco,Ridley,Jigglypuff,Blue
Bayonetta,R.O.B.,Donkey Kong,Blue
Diddy Kong,Mario,Lucas,Blue
Inkling,Ike,,Blue
,Incineroar,Cloud,Blue
Mii Gunner,Random,Young Link,Yellow
Kirby,Jigglypuff,Luigi,Blue
Inkling,Bowser Jr.,Lucas,Yellow
Pyra & Mythra,Mii Swordfighter,Sonic,Blue
Mario,Dark Samus,,Red
Toon Link,,Banjo & Kazooie,Yellow
Zelda,Sephiroth,,Blue
Kazuya,Lucina,Mega Man,Red
Random,Kazuya,Hero,Blue
Donkey Kong,Pyra & Mythra,Bowser Jr.,Blue
Isabelle,Zero Suit Samus,Mario,Yellow
Mii Gunner,Incineroar,Pit,Blue
,Mii Gunner,Little Mac,Yellow
Min Min,King K. Rool,,Blue
Mario,Chrom,Little Mac,Red
Luigi,Mii Gunner,Peach,Red
King K. Rool,Pyra & Mythra,,Blue
Random,Kazuya,Young Link,Blue
Kazuya,Mr. Game & Watch,Sonic,Red
Mii Gunner,Wolf,Captain Falcon,Red
Duck Hunt,Mii Brawler,Ness,Red
Incineroar,"Bowser Jr,",,Blue
Ice Climbers,Zelda,Meta Knight,Red
Banjo & Kazooie,King K. Rool,,Red
Inkling,Sephiroth,Villager,Blue
Lucas,Yoshi,Hero,Red
Dark Samus,Dark Samus,,Red
King Dedede,Kirby,Sora,Blue
Dr. Mario,Steve,Ridley,Yellow
Pyra & Mythra,Little Mac,Peach,Red
,Little Mac,,
Terry,Mii Swordfighter,Dark Pit,Blue
Pyra & Mythra,,,Blue
,Pyra & Mythra,Lucina,Blue
Cloud,Luigi,Piranha Plant,Red
Mii Brawler,Snake,Bowser,Blue
Joker,Pokemon Trainer,,Red
,Terry,Ken,Blue
Inkling,Ike,Banjo & Kazooie,Red
Pac-Man,Bayonetta,Yoshi,Red
Pokemon Trainer,Luigi,Pokemon Trainer,Blue
Piranha Plant,Incineroar,,Blue
King Dedede,Dr. Mario,Falco,Red
King Dedede,,Little Mac,Red
Sephiroth,Little Mac,Mega Man,Yellow
Inkling,King K. Rool,Wii Fit Trainer,Red
,Simon,Bayonetta,Blue
Steve,Jigglypuff,Ken,Yellow
Banjo & Kazooie,Mii Gunner,Bayonetta,Blue
Marth,Hero,Ken,Blue
,Shulk,Hero,Blue
Yoshi,King K. Rool,,Blue
Link,Pit,Little Mac,Blue
Villager,Banjo & Kazooie,Pokemon Trainer,Blue
Palutena,R.O.B.,Robin,Red
Inkling,Pyra & Mythra,Palutena,Red
Mario,Pyra & Mythra,,Blue
Yoshi,Simon,Terry,Blue
Toon Link,King K. Rool,,Blue
Inkling,Palutena,Olimar,Red
Meta Knight,Mewtwo,Kirby,Yellow
Dr. Mario,Dark Pit,Pikachu,Blue
Diddy Kong,Pikachu,,Blue
Isabelle,Samus,Cloud,Red
Mii Swordfighter,Banjo & Kazooie,Wario,Blue
Isabelle,Lucina,Little Mac,Blue
,Incineroar,Lucario,Blue
Luigi,Random,Jigglypuff,Blue
Simon,Terry,Piranha Plant,Yellow
Fox,Pac-Man,Ryu,Blue
Isabelle,Marth,Sephiroth,Blue
Bayonetta,Yoshi,Daisy,Yellow
Toon Link,Peach,Banjo & Kazooie,Yellow
Random,Sora,Link,Red
Random,Bayonetta,Wii Fit Trainer,Yellow
Piranha Plant,Young Link,,Red
,,Little Mac,
Ness,Dark Pit,Palutena,Blue
,Banjo & Kazooie,Little Mac,Blue
Daisy,Sephiroth,,Blue
Pokemon Trainer,Bowser Jr.,Luigi,Blue
Wario,Mario,Link,Blue
Cloud,King K. Rool,Mewtwo,Blue
Snake,Random,Little Mac,Blue
Rosalina & Luma,Wario,Villager,Yellow
Dark Pit,Steve,,Blue
Young Link,Samus,,Blue
Greninja,Kirby,Young Link,Red
Mario,Pyra & Mythra,,Red
Bowser Jr.,Simon,Zero Suit Samus,Blue
Peach,Bowser Jr.,,Blue
Mega Man,Pit,Mii Swordfighter,Yellow
,Ike,Little Mac,Blue
Mario,,Banjo & Kazooie,Red
,Shulk,Shulk,Blue
Banjo & Kazooie,Sephiroth,Pokemon Trainer,Red
Donkey Kong,Little Mac,Meta Knight,Red
,Roy,Joker,Blue
Lucario,Ryu,Olimar,Yellow
Ridley,Zero Suit Samus,Bayonetta,Red
Wii Fit Trainer,Olimar,Ice Climbers,Red
Min Min,Mii Gunner,Luigi,Yellow
Robin,Ridley,Olimar,Red
,Ike,Shulk,Blue
Captain Falcon,Donkey Kong,Toon Link,Yellow
Simon,Robin,Lucina,Blue
Pokemon Trainer,Young Link,Mega Man,Yellow
King Dedede,Random,Peach,Red
Min Min,Hero,Wario,Blue
Ike,Richter,Marth,Yellow
Min Min,Sephiroth,,Blue
Joker,Bowser Jr.,,Red
Rosalina & Luma,Min Min,King Dedede,Blue
Byleth,Pit,Joker,Yellow
Samus,Mii Brawler,Young Link,Yellow
Pikachu,Roy,Jigglypuff,Yellow
,Robin,Palutena,Blue
Mii Brawler,Ganondorf,Sephiroth,Yellow
,Cloud,Jigglypuff,Blue
Palutena,Ridley,Ike,Yellow
Snake,Mr. Game & Watch,Pit,Yellow
Dark Samus,Samus,Pac-Man,Yellow
Ken,Wii Fit Trainer,Little Mac,Blue
Richter,Link,Bowser,Blue
Meta Knight,Samus,,Blue
Min Min,Mii Swordfighter,Little Mac,Red
Donkey Kong,Richter,Ridley,Yellow
Corrin,Link,Zelda,Blue
Kazuya,Sora,Duck Hunt,Blue
,Byleth,Link,Blue
Dr. Mario,Piranha Plant,Meta Knight,Blue
Pokemon Trainer,Simon,Yoshi,Yellow
Simon,Luigi,Shulk,Blue
Isabelle,Ness,Daisy,Blue
Sheik,Bowser Jr.,Link,Blue
Mewtwo,Pichu,Toon Link,Red
Rosalina & Luma,Corrin,Shulk,Blue
Mega Man,Ice Climbers,Link,Yellow
Snake,Wario,Mr. Game & Watch,Blue
Mewtwo,Pikachu,Dr. Mario,Blue
Ryu,Mii Gunner,King Dedede,Blue
Snake,Sonic,Link,Yellow
Banjo & Kazooie,Byleth,Inkling,Blue
Ken,Bowser,Mii Brawler,Blue
Toon Link,Sheik,Pac-Man,Yellow
Ike,Dark Samus,,Blue
Terry,Corrin,Greninja,Blue
Peach,Pyra & Mythra,,Blue
Bowser,Kazuya,Roy,Red
Bowser Jr.,Mega Man,Roy,Red
King Dedede,Mii Swordfighter,Lucas,Red
,Link,Dr. Mario,Yellow
Dark Samus,Banjo & Kazooie,,Red
,Cloud,Wii Fit Trainer,Blue
Kirby,Mr. Game & Watch,Bayonetta,Red
Zelda,Richter,Wolf,Blue
Pac-Man,Villager,Link,Yellow
Hero,Ken,Pokemon Trainer,Red
Shulk,Luigi,,Blue
Ken,Jigglypuff,Mii Swordfighter,Yellow
Dark Pit,,Pac-Man,Red
,Wolf,Falco,Blue
Robin,Piranha Plant,Isabelle,Blue
Bowser,Shulk,Link,Red
Wolf,Ryu,Pac-Man,Blue
Inkling,Pyra & Mythra,Joker,Red
Bayonetta,Ridley,Kirby,Blue
Banjo & Kazooie,,Lucario,Red
Toon Link,Incineroar,Joker,Yellow
Pit,Corrin,Yoshi,Blue
Isabelle,Mr. Game & Watch,Joker,Blue
Pikachu,Lucario,Mario,Red
Roy,Marth,Pac-Man,Red
Joker,Steve,,Red
Sheik,Simon,Kirby,Yellow
Toon Link,Incineroar,,Blue
Pac-man,Terry,Mii Swordfighter,Yellow
Inkling,King K. Rool,Lucario,Red
Ryu,Ness,Ridley,Blue
Sonic,Marth,Joker,Yellow
Roy,Pikachu,Wolf,Blue
Zero Suit Samus,Kirby,Hero,Red
Mii Brawler,Falco,Meta Knight,Red
Donkey Kong,Wii Fit Trainer,King K. Rool,Blue
Ken,Mega Man,Pyra & Mythra,Yellow
Piranha Plant,Captain Falcon,Ken,Blue
Ice Climbers,Wii Fit Trainer,Ness,Yellow
Ice Climbers,Mega Man,Dr. Mario,Red
Kirby,,,
Toon Link,,Inkling,Red
Mario,King K. Rool,,Blue
Dr. Mario,Shulk,,Blue
Banjo & Kazooie,,Steve,Red
Peach,Min Min,Wolf,Blue
Piranha Plant,Mr. Game & Watch,,Red
Daisy,Peach,Dark Pit,Blue
Mii Brawler,Simon,Captain Falcon,Blue
Meta Knight,Robin,,Blue
Ken,Isabelle,Daisy,Blue
Kirby,Toon Link,,Blue
Captain Falcon,Pikachu,Wii Fit Trainer,Yellow
Mario,Pyra & Mythra,,Blue
Diddy Kong,Sonic,Chrom,Yellow
Daisy,Jigglypuff,Palutena,Yellow
Pac Man,Ridley,Sheik,Red
,Toon Link,Sheik,Blue
Bowser Jr.,R.O.B.,Roy,Yellow
Min Min,Bowser Jr.,Zelda,Blue
Mario,Pikachu,,Red
Joker,Dark Samus,Snake,Blue
Toon Link,Pikachu,,Red
Simon,Captain Falcon,Mr. Game & Watch,Yellow
Pit,Palutena,Corrin,Blue
,Robin,King K. Rool,Blue
Lucario,King K. Rool,Isabelle,Blue
Random,R.O.B.,Diddy Kong,Blue
Yoshi,Ridley,Pichu,Blue
Diddy Kong,Banjo & Kazooie,,Blue
,Pichu,R.O.B.,Yellow
Sheik,R.O.B.,Jigglypuff,Yellow
Mewtwo,Lucina,Pac-Man,Red
Kirby,Wii Fit Trainer,Jigglypuff,Red
R.O.B.,Mii Swordfighter,Min Min,Red
Mii Swordfighter,Link,R.O.B.,Red
Mr. Game & Watch,Luigi,Fox,Yellow
Dark Samus,Incineroar,Richter,Blue
Sonic,Joker,Young Link,Red
Diddy Kong,Diddy Kong,,Red
Dark Samus,Ness,Mewtwo,Red
Isabelle,Cloud,Duck Yellow,Red
Zelda,Ike,,Red
Rosalina & Luma,Robin,R.O.B,Red
Mario,,Piranha Plant,Yellow
Daisy,Hero,Lucina,Yellow
Pit,,King K. Rool,Yellow
King Dedede,Kazuya,Mii Gunner,Yellow
Hero,Fox,,Red
Zero Suit Samus,Min Min,Hero,Blue
Piranha Plant,Byleth,Toon Link,Yellow
Joker,Sonic,Ice Climbers,Blue
Lucas,Wii Fit Trainer,Ice Climbers,Blue
Chrom,Link,Hero,Blue
Lucario,Richter,Greninja,Yellow
Pyra & Mythra,Wolf,Hero,Yellow
Dark Samus,Link,Samus,Yellow
Palutena,Chrom,Terry,Yellow
Ganondorf,Sonic,Samus,Red
Lucario,Diddy Kong,Villager,Blue
Donkey Kong,,Banjo & Kazooie,Red
Pit,Dark Pit,Incineroar,Yellow
Sonic,Roy,Random,Yellow
Greninja,Random,Ike,Blue
Wolf,Lucario,Kazuya,Yellow
Corrin,Young Link,Incineroar,Red
Bowser,Kirby,Young Link,Red
R.O.B.,Ridley,Chrom,Blue
Zelda,Simon,,Red
Donkey Kong,Greninja,R.O.B.,Blue
Kazuya,,Sonic,Red
Kirby,Young Link,Pokemon Trainer,Red
Lucario,Snake,Link,Yellow
Donkey Kong,Hero,Pac-Man,Blue
Sephiroth,Min Min,Ridley,Yellow
Fox,Richter,Wario,Blue
Cloud,Snake,Fox,Red
Toon Link,Ike,,Blue
Banjo & Kazooie,Mii Gunfighter,Joker,Red
,Sephiroth,Samus,Blue
Lucario,Isabelle,Chrom,Red
Isabelle,Sora,,Red
Sephiroth,Villager,Mii Swordfighter,Yellow
Ken,Richter,Young Link,Red
Min Min,Lucina,Sora,Red
Wii Fit Trainer,Steve,Mr. Game & Watch,Yellow
Kirby,Mr. Game & Watch,Dark Pit,Red
Kazuya,Jigglypuff,Pichu,Blue
Sora,Robin,Steve,Blue
,Kirby,Hero,Blue
Link,Toon Link,Young Link,Blue
Banjo & Kazooie,Steve,Mewtwo,Yellow
Min Min,Pokemon Trainer,Steve,Red
Captain Falcon,Random,Isabelle,Yellow
,Ike,Little Mac,Yellow
Bowser,King K. Rool,Sephiroth,Red
Byleth,Inkling,Mr. Game & Watch,Blue
Mario,,Bowser,Yellow
Mii Brawler,Roy,,Blue
,Ganondorf,Bowser,Blue
Donkey Kong,Simon,Marth,Yellow
Hero,,,Red
Peach,Corrin,,Blue
Donkey Kong,Ganondorf,R.O.B.,Blue
Duck Hunt,Joker,Snake,Red
Rosalina & Luma,Mii Gunfighter,Ridley,Blue
Zelda,Peach,Sephiroth,Blue
King Dedede,Isabelle,Piranha Plant,Yellow
Pikachu,Palutena,Toon Link,Red
Banjo & Kazooie,Greninja,Lucas,Red
Ryu,Mega Man,Fox,Blue
Min Min,Inkling,Falco,Blue
Dark Pit,Pyra & Mythra,,Blue
Mario,Pyra & Mythra,Hero,Red
Link,Robin,Roy,Yellow
Banjo & Kazooie,Incineroar,,Blue
Luigi,Ike,R.O.B.,Yellow
Bowser,Pichu,Terry,Yellow
,King K. Rool,Link,Blue
Min Min,,,
Kirby,Shulk,Mii Brawler,Blue
Ness,Simon,Kirby,Blue
Mii Brawler,Wii Fit Trainer,Ken,Red
Villager,Ganondorf,Mewtwo,Blue
Dr. Mario,Hero,Isabelle,Yellow
Hero,Olimar,Steve,Red
Wario,Pyra & Mythra,King Dedede,Blue
Richter,Luigi,Pyra & Mythra,Yellow
Min Min,Kirby,Sheik,Blue
Lucario,Pyra & Mythra,Ganondorf,Red
Pikachu,Duck Hunt,Mii Brawler,Red
Toon Link,Ness,,Red
Yoshi,Ness,Hero,Yellow
Bowser,Simon,Greninja,Blue
Zelda,Pichu,Chrom,Red
Palutena,Captain Falcon,Kirby,Yellow
Toon Link,Sora,Cloud,Yellow
Toon Link,Byleth,Random,Red
Kazuya,,Steve,Red
Steve,Mii Swordfighter,Wario,Blue
Ike,Isabelle,Fox,Blue
Villager,Terry,Richter,Blue
Hero,Ice Climbers,,Blue
Pac-Man,Greninja,Olimar,Blue
Min Min,Samus,,Blue
Duck Hunt,Luigi,Falco,Blue
Meta Knight,Min Min,Little Mac,Yellow
Villager,Samus,,Blue
Yoshi,Kirby,,Red
R.O.B.,Simon,Ganondorf,Red
Min Min,Marth,,Red
Bowser,Simon,Wolf,Red
Isabelle,Mii Gunner,Wii Fit Trainer,Red
Dark Samus,Ike,,Blue
Banjo & Kazooie,Incineroar,,Blue
Pichu,Bowser,Ike,Yellow
Mr. Game & Watch,Daisy,Isabelle,Yellow
Ridley,Pac-Man,Pichu,Blue
Incineroar,Jigglypuff,,Blue
Kirby,Rosalina & Luma,Random,Red
Donkey Kong,Pac-Man,Snake,Red
Shulk,Villager,Richter,Yellow
Inkling,Shulk,Pit,Red
,King K. Rool,Little Mac,Blue
Wii Fit Trainer,King K. Rool,Sheik,Yellow
Chrom,Cloud,Mii Gunner,Yellow
Mega Man,Bowser,Isabelle,Yellow
,Ganondorf,Random,Blue
Mr. Game & Watch,Snake,Joker,Yellow
Richter,,Donkey Kong,Red
Sora,Pyra & Mythra,Sheik,Blue
Luigi,Corrin,,Red
Donkey Kong,Cloud,Jigglypuff,Blue
Corrin,Isabelle,Lucas,Yellow
Inkling,King K. Rool,,Red
Kirby,Luigi,Link,Yellow
Mii Gunner,Corrin,Steve,Red
Random,Mii Gunner,Olimar,Blue
Shulk,King K. Rool,,Blue
,Byleth,Hero,Yellow
Samus,Jigglypuff,Cloud,Red
,Pyra & Mythra,Olimar,Blue
Peach,Pyra & Mythra,,Blue
Ganondorf,Palutena,Chrom,Blue
Greninja,Pit,Terry,Red
Yoshi,Falco,Little Mac,Red
Robin,Wario,Peach,Red
Samus,Pit,Ganondorf,Blue
Snake,Bowser Jr.,Ridley,Red
Bowser,Palutena,Little Mac,Yellow
,Mii Gunner,King K. Rool,Blue
Random,Mega Man,Ganondorf,Blue
